                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     688                                     1551                  8.0000000000000000E+000                  2.0000000000000000E-002                  3.4976574405355342E+007                  3.2266820092072862E+003                  4.2108152590356867E+003                  4.4152712495426367E+003                  1.2485314296304374E+002                 -1.7873298408148250E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9131957260120642E-003                  4.6044993957811214E-001                  0.0000000000000000E+000                  5.1323070426700101E-001                  2.0328291965365279E-002                  7.9128746126582890E+000                 -1.9264617925912799E-008                  4.2385819673272183E+000                  1.8626612401353450E-004                  3.0105702840091753E+000                  2.5460895160647479E-001                  3.4226983815128058E-002                  3.1552511291259178E-001                  2.6912207402267657E-002                  1.7092805658479477E+000                  5.1298681105451938E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9635126558335619E+006                  2.6748079623736235E+003                  1.7921604733747575E+007                  4.3250374508359992E+003                  1.8684908888710265E+003                  1.1885568819709697E+003                  1.3526899526784865E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1037767444544418E+015                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240909"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  7.9128746126582890E+000                  2.0963994794412804E+000                  3.6243661907916302E+000                 -8.3634472353260367E+000                  3.0584342351120126E+000                  6.8442789769061496E-001                  2.9543512988128162E-001                  2.0136972428103417E-002                  6.0714808318841387E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  7.9128746126543321E+000                  2.0963994793454801E+000                  3.6243662019103740E+000                 -8.3634471575087037E+000                  3.0584343240311314E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0714819198472460E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.9128746126422405E+000                  2.0963994790526996E+000                  3.6243662329063859E+000                 -8.3634469405754306E+000                  3.0584345719131347E+000                  6.8442789769061496E-001                  2.9543512988128173E-001                  2.0136972428103306E-002                  6.0714849527895525E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  7.9128746126095946E+000                  2.0963994782622226E+000                  3.6243663066901379E+000                 -8.3634464241823405E+000                  3.0584351619774286E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0714921724831514E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.9128746125357461E+000                  2.0963994764740850E+000                  3.6243664312677413E+000                 -8.3634455522991082E+000                  3.0584361582482358E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0715043623051829E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  7.9128746124297882E+000                  2.0963994739084617E+000                  3.6243666356416906E+000                 -8.3634441219508471E+000                  3.0584377926587094E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0715243600942590E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  7.9128746122407687E+000                  2.0963994693316170E+000                  3.6243669918036807E+000                 -8.3634416293072462E+000                  3.0584406409210518E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0715592100587217E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  7.9128746119157345E+000                  2.0963994614613872E+000                  3.6243676007124423E+000                 -8.3634373678456413E+000                  3.0584455103627195E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0716187905540850E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  7.9128746113619250E+000                  2.0963994480518569E+000                  3.6243688154556644E+000                 -8.3634288666608150E+000                  3.0584552244382648E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0717376493619366E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  7.9128746101624952E+000                  2.0963994190102881E+000                  3.6243712458719046E+000                 -8.3634118587018982E+000                  3.0584746591078478E+000                  6.8442789769061496E-001                  2.9543512988128168E-001                  2.0136972428103306E-002                  6.0719754521081134E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
